method,search_width,recall_resident,recall_payload_on_ssd,latency_us_resident,latency_us_payload_on_ssd,io_requests_payload_on_ssd,sectors_4k_payload_on_ssd,bytes_read_payload_on_ssd
SAQ_B4,540,0.9,0.9,2536.837011575699,23429.233580827713,503.0,592.0,2424832.0
SAQ_B4,580,0.9,0.9,2819.962799549103,27531.910687685013,538.0,634.0,2596864.0
Ours_RaBitQ_K1,10,1.0,1.0,546.2616682052612,1478.6534011363983,10.0,12.0,49152.0
Ours_RaBitQ_K1,11,0.9,0.9,530.7532846927643,1521.6097235679626,11.0,14.0,57344.0
Ours_RaBitQ_K1,12,0.9,0.9,526.0109901428223,1548.9570796489716,12.0,15.0,61440.0
Ours_RaBitQ_K1,13,0.8,0.8,537.920743227005,1600.8876264095306,13.0,17.0,69632.0
Ours_RaBitQ_K1,14,0.8,0.8,727.4225354194641,1792.5351858139038,14.0,18.0,73728.0
Ours_RaBitQ_K1,15,0.8,0.8,569.1573023796082,1918.0811941623688,15.0,19.0,77824.0
Ours_RaBitQ_K1,16,0.7,0.7,593.7591195106506,1893.9673900604248,16.0,20.0,81920.0
Ours_RaBitQ_K1,17,0.7,0.7,616.8410181999207,2007.1975886821747,17.0,21.0,86016.0
Ours_RaBitQ_K1,18,0.7,0.7,627.0594894886017,2118.84081363678,18.0,22.0,90112.0
Ours_RaBitQ_K1,19,0.7,0.7,642.1990692615509,2094.3358540534973,19.0,24.0,98304.0
Ours_RaBitQ_K1,20,0.6,0.6,763.9378309249878,2194.6951746940613,20.0,25.0,102400.0
Ours_RaBitQ_K1,21,0.6,0.6,717.4871861934662,2356.4696311950684,21.0,26.0,106496.0
Ours_RaBitQ_K1,22,0.6,0.6,690.8699870109558,2373.628318309784,22.0,28.0,114688.0
Ours_RaBitQ_K1,23,0.6,0.6,720.7319140434265,2478.417009115219,23.0,29.0,118784.0
Ours_RaBitQ_K1,24,0.5,0.5,741.9101893901825,2490.740269422531,24.0,30.0,122880.0
Ours_RaBitQ_K1,25,0.5,0.5,756.576657295227,2584.0215384960175,25.0,32.0,131072.0
Ours_RaBitQ_K1,26,0.5,0.5,882.0332586765289,7307.4400424957275,26.0,33.0,135168.0
Ours_RaBitQ_K1,27,0.5,0.5,822.8085935115814,10003.264993429184,27.0,34.0,139264.0
Ours_RaBitQ_K1,28,0.5,0.5,836.9944989681244,4981.614649295807,28.0,35.0,143360.0
Ours_RaBitQ_K1,29,0.5,0.5,789.1617715358734,9910.151362419128,29.0,36.0,147456.0
Ours_RaBitQ_K1,30,0.5,0.5,768.2032883167267,3019.0981924533844,30.0,37.0,151552.0
Ours_RaBitQ_K1,40,0.5,0.5,1044.93647813797,3898.356109857559,39.0,47.0,192512.0
Ours_RaBitQ_K1,50,0.5,0.5,1232.8475713729858,5889.073014259338,48.0,58.0,237568.0
Ours_RaBitQ_K1,60,0.5,0.5,1311.8274509906769,7519.904524087906,58.0,68.0,278528.0
Ours_RaBitQ_K1,70,0.5,0.5,1517.072319984436,9179.871529340744,68.0,78.0,319488.0
Ours_RaBitQ_K1,80,0.5,0.5,1676.1980950832367,6843.537092208862,78.0,88.0,360448.0
Ours_RaBitQ_K1,90,0.5,0.5,1840.781420469284,7275.152951478958,87.0,97.0,397312.0
Ours_RaBitQ_K1,100,0.5,0.5,1973.6066460609436,8127.789944410324,96.0,110.0,450560.0
Ours_RaBitQ_K1,140,0.5,0.5,2568.4311985969543,11140.450835227966,135.0,152.0,622592.0
Ours_RaBitQ_K1,180,0.5,0.5,3193.192183971405,13783.469796180725,171.0,192.0,786432.0
Ours_RaBitQ_K1,220,0.5,0.5,3915.4961705207825,16632.452607154846,208.0,236.0,966656.0
Ours_RaBitQ_K1,260,0.5,0.5,4384.934902191162,19211.232662200928,246.0,284.0,1163264.0
Ours_RaBitQ_K1,300,0.5,0.5,4937.097430229187,22458.981722593307,284.0,327.0,1339392.0
Ours_RaBitQ_K1,340,0.5,0.5,5647.178739309311,25614.4180893898,320.0,368.0,1507328.0
Ours_RaBitQ_K1,380,0.5,0.5,6056.86753988266,27712.874114513397,357.0,414.0,1695744.0
Ours_RaBitQ_K1,420,0.5,0.5,6678.43222618103,30811.116099357605,394.0,458.0,1875968.0
Ours_RaBitQ_K1,460,0.5,0.5,7104.70974445343,34006.208181381226,431.0,502.0,2056192.0
Ours_RaBitQ_K1,500,0.5,0.5,7831.48780465126,36507.71081447601,468.0,549.0,2248704.0
Ours_RaBitQ_K1,540,0.5,0.5,8388.776332139969,39168.64097118378,503.0,592.0,2424832.0
Ours_RaBitQ_K1,580,0.5,0.5,8948.609232902527,42587.35105395317,538.0,634.0,2596864.0
